competences,date_publication,detail_offre,email_rh,entreprise,intitule_offre,referenciel,region,type_offre,url_offre
"Excellente maitrise de la langue française, motivation, détermination, persévérance, capacité à atteindre ses objectifs, avoir une expérience en télévente.",Publiée le 03.12.2024,"Dans le cadre du développement de ses activités le groupe mon assistant perso recrute des Télévendeurs(ses) Expérimentés(es) dans différentes opérations Énergie, box, mobile, assurance, etc..",,MON ASSISTANT PERSO,Télévendeurs(ses) Expérimentés(es) - Dakar,Referent Digital,Dakar,CDD - Intérim - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/televendeursses-experimenteses-dakar-1232492
"Capacité démontrée à gérer des projets complexes, à respecter les délais et à coordonner de nombreuses parties prenantes. Expérience en gestion de campagnes de vente de billets, en marketing ou en promotion d'événements. Bonne compréhension des systèmes de billetterie électroniques et des technologies de contrôle des accès. Capacité à résoudre des problèmes rapidement et efficacement, surtout en contexte événementiel où le temps est critique. Compétences en gestion de projet, planification et organisation. Grande aisance relationnelle et capacité à négocier avec les différents prestataires Bonnes compétences communicationnelles en français et en anglais. Expérience dans l’organisation et la gestion d’évènement sportif Bonne maîtrise des systèmes de billetterie électroniques, des outils de gestion de projet et de la suite bureautique (MS Office, Excel). Flexibilité face aux imprévus, adaptabilité, ouverture d’esprit et rigueur ; Grande Capacité organisationnelle Collaboration avec les autres fonctions opérationnelles Esprit d'équipe, engagement et sens du service à la clientèle ; La connaissance de l’organisation de grands évènements internationaux serait un plus",Publiée le 04.12.2024,"Pour le compte du COJOJ Dakar 2026, Tectra Sénégal recrute, un (e) Ticketing Manager.
Missions Principales :Il est en charge des activités suivantes :

Définition de la Stratégie de Ticketing
Développer une stratégie de vente de billets en collaboration avec les parties prenantes internes (communication, marketing) et externes (prestataires de billetterie, sponsors).
Fixer des objectifs de vente de billets et des indicateurs de performance clés (KPI).
Assurer une tarification adaptée pour chaque type de public et pour les différents événements.
Gestion Opérationnelle de la Billetterie
Gérer et superviser la mise en œuvre de la plateforme de ticketing.
Coordonner l'attribution des billets aux différents publics (spectateurs, familles des athlètes, partenaires, etc.).
Garantir l'intégrité du système de ticketing, notamment en matière de sécurité et de gestion des données.
Collaborer avec les équipes opérationnelles (EVM) pour la gestion des accès aux sites et le contrôle des billets.
Supervision des Ventes et de la Distribution
Assurer la distribution efficace des billets, y compris en ligne, sur place et par des points de vente agréés.
Développer et mettre en œuvre des campagnes promotionnelles pour maximiser les ventes de billets.
Évaluer et surveiller les ventes en temps réel afin d'ajuster les stratégies si nécessaire.
Gestion des Partenaires et Prestataires
Travailler en étroite collaboration avec le fournisseur de services de billetterie afin de garantir la bonne fonctionnalité du système.
Gérer les relations avec les partenaires et prestataires, y compris la négociation des contrats et des accords de services.
Coordination sur les Sites
Assurer la coordination du personnel sur les sites de compétition pour la gestion des points de vente et des entrées.
Former les équipes sur les procédures de ticketing, le service client, et les aspects techniques liés aux contrôles d’accès.
Superviser les opérations sur les sites pour garantir un accueil sans encombre des spectateurs.
Service Client et Réclamations
S'assurer que le service client en lien avec la billetterie est efficace et répond rapidement aux demandes des spectateurs.
Mettre en place une procédure de résolution des réclamations relatives à la billetterie.
Rapports et Analyse
Rédiger des rapports réguliers sur l'état des ventes, les objectifs atteints et les recommandations d'amélioration.
Analyser les ventes de billets et les comportements d'achat pour les rapports d’après jeux",,TECTRA SÉNÉGAL,Ticketing Manager - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/ticketing-manager-dakar-1228876
"Justifier d’un bon niveau de langue française D’une bonne capacité à communiquer à l’oral comme à l’écrit Un sens de l’écoute et du service acérés. Un bon sens de la confidentialité. D’une expérience en ressources humaine est souhaitable  D’une bonne connaissance de l’outil informatique De l’énergie, de l’enthousiasme et beaucoup de dynamisme. Être souriant Être Énergique Être aimable et dynamique.",Publiée le 11.12.2024,"Nous sommes à la recherche des Stagiaires en Ressources Humaines.
Missions :

Préparer les contrats de travail et intégration sur Télédac. 
Faire les audits des dossiers pour identifier les éléments manquants et assurer le suivi à organiser et à faire l'assurer le suivi.  
Assurer le classement des contrats de tout le personnel et à la mise à jour des dossiers du personnel et le traitement des courriers administratifs.",,MAJOREL,Stagiaire en Ressources Humaines  - Dakar,Referent Digital,Dakar,Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/stagiaire-ressources-humaines-dakar-1146283
"Formation : Avoir un Bac+2/3 en commerce, marketing ou équivalent. Expérience : Justifier d’une première expérience réussie en BtoB, idéalement dans le domaine des services. Compétences clés :Maîtrise des techniques de prospection et de négociation. Capacité à gérer des cycles de vente complexes. Aisance dans l’utilisation des outils CRM et des suites bureautiques (Excel, Word, etc.). Solides compétences relationnelles et sens du service client. Qualités personnelles : Dynamisme, autonomie, rigueur, persévérance et goût pour le challenge. Une rémunération attractive : fixe + primes déplafonnées. Des perspectives d’évolution au sein d’une entreprise en forte croissance. Une formation initiale et continue sur nos produits et services pour garantir votre succès. Un environnement de travail stimulant au sein d’une équipe jeune, motivée et bienveillante. Entretien téléphonique avec notre service RH. Entretien physique ou visio avec le Responsable Commercial.",Publiée le 03.12.2024,"Webtel est un acteur majeur dans le domaine des solutions pour les entreprises.Nous sommes à la recherche d'un Commercial BtoB.
Missions :
En tant que Commercial BtoB, vous jouerez un rôle clé dans le développement de notre portefeuille clients. Vous serez chargé(e) de :

Prospection active : Identifier de nouveaux clients potentiels et les démarcher via différents canaux (téléphone, email, réseau ...).
Analyse des besoins : Comprendre les besoins des entreprises pour leur proposer des solutions adaptées.
Négociation et vente : Présenter les offres, négocier les termes contractuels et conclure les ventes.
Gestion de portefeuille : Fidéliser les clients en entretenant une relation de confiance et en les accompagnant dans l’évolution de leurs besoins.
Veille concurrentielle : Rester informé(e) des tendances du marché et des offres concurrentes pour ajuster la stratégie commerciale.
Reporting : Suivre vos résultats, établir des rapports réguliers et partager les insights avec l’équipe.",,WEBTEL,Commercial BtoB - Dakar,Referent Digital,Dakar - International,CDD - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/commercial-btob-dakar-1232606
"Vous êtes titulaire d'un Bac+2 en Informatique Vous êtes passionné par Internet et justifiez d'une première expérience minimum de 3 ans en tant que web designer / Infographiste Vous êtes créatif, organisé, rigoureux et autonome Vous avez de bonnes capacités rédactionnelles Un bon relationnel ainsi que des aptitudes à travailler en équipe La connaissance des bonnes pratiques de conception et d’intégration des e-mails marketing constitue un atout supplémentaire Votre créativité, votre implication et votre enthousiasme feront la différence.",Publiée le 02.12.2024,"Nous recherchons pour vos besoins de service un Web Designer sur Dakar.
Missions :

Création de visuels Social Media
Création d'animatique/Motion design
Création, intégration, automatisation d'e-mail marketing
Intégration : HTML 4 et 5, CSS 2 et 3, jQuery
Créations web : bannières, vidéo
Participer à l’élaboration graphique et ergonomique des sites web : respect des processus de production graphiques, respect des standards web (HTML, CSS, JavaScript), intégration, test de rétrocompatibilité, recette
Force de proposition sur des problématiques graphiques et ergonomiques.",,AGENCE 3W,Web Designer - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/web-designer-dakar-909553
"Diplôme en architecture d’intérieur, design ou architecture avec une spécialisation en design intérieur.  Minimum 5 ans d’expérience en architecture d’intérieur et gestion de projets, idéalement dans le secteur hôtelier ou résidentiel haut de gamme. Une expérience avec des projets pour des chaînes internationales est un atout majeur.  Excellente maîtrise des logiciels de conception (AutoCAD, SketchUp, 3ds Max, ou équivalents), gestion de projet (MS Project, Trello, etc.) et outils de présentation.  Capacité à intégrer les exigences des standards hôteliers tout en valorisant l’identité locale et en proposant des designs innovants.  Organisation irréprochable, autonomie et capacité à coordonner des équipes multidisciplinaires dans un environnement multiculturel.  Créativité, rigueur, adaptabilité et excellent sens de la communication.  Maîtrise du français et de l’anglais, tant à l’écrit qu’à l’oral.",Publiée le 03.12.2024,"Un développeur immobilier de renom, recherche, dans le cadre de projets de complexes hôteliers de chaînes internationales en cours de réalisation, un Architecte d’Intérieur & Chef de Projet talentueux et expérimenté.
Missions :
Rattaché à la Direction de Projet, vos principales missions seront :

Concevoir, développer et superviser des projets d’architecture d’intérieur en collaboration avec les équipes créatives, les partenaires locaux et internationaux, et les chaînes hôtelières.
Assurer la gestion complète des projets, de la phase conceptuelle jusqu’à la livraison : coordination des intervenants, suivi des budgets, contrôle qualité et respect des délais.
Garantir la conformité des aménagements aux standards des chaînes hôtelières tout en intégrant une touche locale pour valoriser le patrimoine et l’esthétique du Sénégal.
Collaborer étroitement avec les équipes techniques et d’ingénierie pour s'assurer que les solutions proposées respectent les normes structurelles et les réglementations en vigueur.
Effectuer un suivi rigoureux des chantiers : pilotage des travaux, vérification des finitions et accompagnement lors des phases de réception.",,NEXGEN TALENT,Architecte D'Intérieur & Chef de Projet - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/architecte-interieur-chef-projet-dakar-1232396
"Bac+4 en informatique ou équivalent Capacité à travailler en équipe ; Capacité à travailler dans un environnement sous haute pression ; Capacité à comprendre rapidement des problèmes complexes et à trouver des solutions efficaces ; Connaissance approfondie du contexte et de la législation ; Connaissance des langages de programmation et des technologies de développement d’applications Connaissance des normes et des standards en matière de développement d’application 
Sens des responsabilités 
 
Capacités d’adaptation
 
Rigueur",Publiée le 11.12.2024,"L’Humain est au cœur de notre métier !
Pour le compte du COJOJ DAKAR 2026, Tectra Sénégal recrute un Responsable Qualité et Formation.
Au cours de la 134ème session du Comité International Olympique (CIO), tenue à Buenos Aire en octobre 2018, le Sénégal a été désigné pour accueillir la quatrième édition des jeux olympiques de la jeunesse.
Le Sénégal est ainsi le premier pays africain à accueillir les Jeux Olympiques de la jeunesse (JOJ). Cet événement de grande envergure est en phase avec les projets du gouvernement du Sénégal qui ambitionne de positionner le pays comme le hub multiservices de référence, d’attraction de devises et de capitaux étrangers au niveau régional.
Les JOJ qui devaient initialement se dérouler en 2022 ont été reportés en 2026. À cet effet, pour une meilleure organisation de l’événement, un comité d’organisation (COJOJ) a été créé sous la forme d’une Association de droit privé dont les membres fondateurs sont :

Le Gouvernement du Sénégal, représenté par le Ministre des Finances et du Budget et le Ministre des Sports ;
Le Comité National Olympique et Sportif Sénégalais (CNOSS) représenté par son Président ;
La ville de Dakar représentée par le Maire.

Les JOJ représentent un catalyseur pour une transformation sportive sociale, culturelle, éducative et économique qui créera de nouveaux espoirs, de nouvelles opportunités et de la confiance pour les jeunes.
En effet, Dakar 2026 est né du désir d’amener les jeux olympiques de la Jeunesse dans toutes les parties du monde et de les placer au cœur de la transformation de l’Afrique.
Par conséquent, l’ampleur de cet événement et les opportunités qu’il offre nécessitent une organisation bien structurée avec l’identification et le recours à des compétences pointues dans des domaines variés, liés à la livraison d’un évènement sportif de dimension mondiale.
C’est dans ce cadre que le COJOJ souhaite procéder à la sélection des meilleurs talents pour l’accompagner dans la
réalisation de ses missions.
Dakar 2026, c’est une équipe de collaborateurs passionnés qui, ensemble, s’apprêtent à offrir au monde le plus grand
événement sportif organisé en Afrique.
Être un collaborateur de Dakar 2026 c’est partager une aventure humaine unique et participer à la transformation
du Sénégal.
C’est une opportunité de développer ses compétences et de relever continuellement des défis en donnant le meilleur de soi-même dans un environnement dynamique et motivant qui valorise le partage, l’excellence, l’impact et la créativité
Missions  :

De livrer et d’opérer les services technologiques et électriques nécessaires pour la réussite des jeux (tout système informatique nécessaire pour la préparation et l’opération des jeux, la planification des ressource nécessaires, la gestion opérationnelle de la technologie et de l’électricité des sites, la gestion de l’acquisition des services technologiques et électriques ainsi que la coordination des différents fournisseurs de services, etc.)
De gérer et d’accompagner le Comité des jeux autrement dit être un support aux autres directions et leur fournir tous les outils technologiques nécessaires à la réalisation de leurs tâches ;
Innover et transmettre son savoir faire après des organisateurs d’événements sportifs, partage de connaissance etc. 
Garantir la qualités des logiciels livre s par les différents fournisseurs
Assurer la formation des utilisateurs
Vérifier que le périmètre fonctionnel des applications est bien respecte 
Communiquer les risques et les problèmes non résolus au superviseur direct.
La conception et la mise en œuvre de tests fonctionnels et techniques
L’automatisation de tests avec des outils comme Sélénium ou Robot Framework
Validation de la Qualité : S’assurer que les produits re pondent aux exigences fonctionnelles et de sécurité
Reporting: Documenter les résultats des tests et signaler les problèmes aux développeurs pour correction
Collaboration avec les développeurs et intégrateurs
Formation des utilisateurs sur la base de supports de formation mis a disposition par les fournisseurs",,TECTRA SÉNÉGAL,Responsable Qualité et Formation - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/responsable-qualite-formation-dakar-1217396
"Bonne maîtrise de la langue Française Proactif, autonome et vigilant Sens de l'écoute et du service Esprit commercial",Publiée le 10.12.2024,"Mon Assistant Perso recrute en urgence des Commerciaux Expérimentés en Mutuelle Santé Prévoyance, en Énergie et même en Téléphonie Sfr Bouygues Orange 
Missions :

Prospection et développement de portefeuille: Identifier de nouveaux prospects, réaliser des rendez-vous et conclure des ventes.
Conseil personnalisé: Analyser les besoins de chaque client, comparer les offres du marché et proposer les garanties les plus adaptées.
Gestion de la relation client: Assurer le suivi des contrats, répondre aux questions des assurés et gérer les sinistres.
Fidélisation: Mettre en place des actions de fidélisation pour renforcer la relation avec les clients existants.",,MON ASSISTANT PERSO,Commercial - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/commercial-dakar-1237955
"Avoir une expérience réussie dans un poste similaire ou en relation commerciale. Aisance relationnelle : excellente présentation et capacité à créer un lien de confiance avec les prospects et les clients. Maîtrise des outils bureautiques : vous êtes à l'aise avec les suites Microsoft Office ou Google Workspace, ainsi que les logiciels de gestion client (CRM). Compétence en communication digitale : bonne connaissance des réseaux sociaux pour promouvoir nos produits et interagir avec les clients. Organisation et rigueur : ponctuelle et méthodique, vous savez gérer plusieurs tâches simultanément tout en respectant les délais. Vous êtes motivée par les défis et avez un goût prononcé pour le travail en équipe. Une connaissance du secteur des logiciels de gestion ou des solutions digitales est un atout. Une formation complète à nos produits et à nos outils de gestion. Un environnement de travail stimulant, avec des opportunités d'évolution. Une rémunération attractive composée d'un fixe et de primes liées à vos performances.",Publiée le 10.12.2024,"Dans le cadre de notre développement, nous recherchons une Secrétaire Commerciale polyvalente et dynamique pour rejoindre notre équipe.
Missions :

Développement commercial : identifier et rechercher des clients potentiels, établir un premier contact avec les prospects et organiser des rendez-vous.
Présentations produits : réaliser des démonstrations de nos logiciels auprès des clients et répondre à leurs questions techniques ou commerciales.
Gestion des commandes : recueillir les commandes, suivre leur traitement jusqu'à la facturation et assurer le suivi des encaissements.
Support administratif : garantir la bonne tenue des dossiers clients et assurer un reporting régulier auprès de la direction commerciale.",,NORD SUD TECHNOLOGY SERVICES,Secrétaire administrative et commerciale - Dakar,Referent Digital,Dakar,CDI,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/secretaire-administrative-commerciale-dakar-1237699
"Formation : dans le domaine de l’éducation, de la gestion de projets pédagogiques, ou autre domaine connexe ; Expérience : Expérience préalable en tant qu’Ingénieur Pédagogique, Chef de Produit éducatif, ou tout autre rôle dans l’écosystème éducatif ; Compétences académiques : Bonne connaissance de l’écosystème éducatif local et expérience de travail avec des institutions telles que les inspections académiques, écoles, regroupements de parents, etc. ; Compétences commerciales : Forte proposition commerciale et capacité à présenter et promouvoir les avantages de nos produits à différents interlocuteurs ; Relationnel : Excellente capacité à entrer en contact avec divers acteurs du secteur éducatif (inspecteurs, professeurs, parents) ; Dynamique et polyvalent(e) : Proactif(ve), orienté(e) solution, et apte à travailler dans un environnement en constante évolution ; Préférence : Nous encourageons les candidatures féminines pour renforcer la diversité au sein de notre équipe.",Publiée le 22.11.2024,"Yello est une plateforme innovante qui vise à réinventer l’éducation en Afrique, en rendant l’apprentissage plus accessible, interactif, et adapté aux besoins des élèves. Nous élargissons notre équipe et recherchons un Ingénieur Pédagogique & Product Manager qui sera au cœur de l’intégration et de la certification des contenus éducatifs.
Missions principales : 

Intégrer et adapter des contenus éducatifs de qualité à la plateforme Yello en collaboration avec les éditeurs et les partenaires académiques ;
Assurer la certification des contenus en travaillant étroitement avec les établissements académiques, les professeurs, et les instances officielles (Inspection d’Académie) ;
Construire des relations solides avec les écoles, les regroupements de parents d’élèves, et les professeurs afin de promouvoir Yello et assurer l’adhésion au projet ;
Collaborer avec les différentes équipes internes pour assurer une intégration fluide des contenus à la plateforme ;
Participer activement à la définition et l’exécution de la roadmap produit en étroite collaboration avec les autres Product Managers;
Proposer des stratégies commerciales afin de promouvoir la valeur ajoutée des contenus éducatifs de Yello.

Pourquoi rejoindre Yello ?

Impact : Travailler sur un projet ayant un fort impact social en participant à la transformation de l’éducation en Afrique ;
Innovation : Faire partie d’une équipe dynamique, passionnée par l’innovation et la technologie ;
Évolution : Opportunité de croissance personnelle et professionnelle au sein d’une startup à forte croissance.",,GLOBAL TALENT LTD.,Ingénieur Pédagogique & Product Manager - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/ingenieur-pedagogique-product-manager-dakar-1226931
